run number;step;mean norm-perception;SD;median norm-perception;iqr;q1;q3;agent 1;agent 2;agent 3;agent 4;agent 5;agent 6;agent 7;agent 8;agent 9;agent 10;agent 11;agent 12;agent 13;agent 14;agent 15;agent 16;agent 17;agent 18;agent 19;agent 20;agent 21;agent 22;agent 23;agent 24;agent 25;agent 26;agent 27;agent 28;agent 29;agent 30;agent 31;agent 32;agent 33;agent 34;agent 35;agent 36;agent 37;agent 38;agent 39;agent 40;agent 41;agent 42;agent 43;agent 44;agent 45;agent 46;agent 47;agent 48;agent 49;agent 50;agent 51;agent 52;agent 53;agent 54;agent 55;agent 56;agent 57;agent 58;agent 59;agent 60;agent 61;agent 62;agent 63;agent 64;agent 65;agent 66;agent 67;agent 68;agent 69;agent 70;agent 71;agent 72;agent 73;agent 74;agent 75;agent 76;agent 77;agent 78;agent 79;agent 80;agent 81;agent 82;agent 83;agent 84;agent 85;agent 86;agent 87;agent 88;agent 89;agent 90;agent 91;agent 92;agent 93;agent 94;agent 95;agent 96;agent 97;agent 98;agent 99;agent 100
53;154;0.59;0.09;0.58;0.08;0.54;0.62;0.75;0.62;0.62;0.63;0.45;0.6;0.51;0.53;0.54;0.68;0.56;0.77;0.72;0.64;0.56;0.56;0.56;0.54;0.63;0.49;0.5;0.44;0.51;0.62;0.61;0.57;0.57;0.56;0.72;0.53;0.52;0.55;0.58;0.56;0.54;0.61;0.62;0.63;0.52;0.59;0.58;0.6;0.53;0.4;0.51;0.67;0.58;0.6;0.54;0.58;0.39;0.61;0.57;0.67;0.98;0.54;0.59;0.65;0.62;0.54;0.72;0.98;0.58;0.56;0.54;0.54;0.49;0.6;0.65;0.61;0.59;0.57;0.66;0.58;0.64;0.63;0.59;0.71;0.82;0.54;0.56;0.68;0.55;0.62;0.55;0.64;0.46;0.53;0.54;0.52;0.6;0.66;0.56;0.53;0.5;0.52;0.65;0.52;0.52;0.62
54;154;0.59;0.10;0.58;0.10;0.53;0.62;0.68;0.55;0.67;0.54;0.54;0.59;0.69;0.65;0.59;0.6;0.56;0.75;0.49;0.58;0.99;0.56;0.6;0.53;0.59;0.52;0.56;0.52;0.52;0.63;0.52;0.48;0.63;0.59;0.64;0.56;0.69;0.51;0.57;0.72;0.75;0.49;0.63;1;0.52;0.5;0.6;0.78;0.57;0.48;0.51;0.59;0.58;0.6;0.58;0.64;0.54;0.69;0.68;0.62;0.52;0.62;0.6;0.44;0.57;0.58;0.51;0.58;0.65;0.47;0.52;0.73;0.54;0.71;0.63;0.49;0.54;0.52;0.58;0.6;0.61;0.44;0.4;0.57;0.41;0.63;0.58;0.54;0.98;0.55;0.62;0.54;0.58;0.6;0.58;0.6;0.51;0.51;0.71;0.59;0.51;0.53;0.59;0.6;0.59;0.59
55;154;0.80;0.06;0.80;0.07;0.76;0.83;0.95;0.84;0.81;0.96;0.79;0.75;0.74;0.78;0.81;0.86;0.86;0.72;0.72;0.84;0.75;0.99;0.79;0.74;0.76;0.8;0.82;0.8;0.86;0.79;0.81;0.75;0.84;0.82;0.83;0.82;0.82;0.76;0.75;0.8;0.77;0.81;0.79;0.81;0.8;0.75;0.75;0.75;0.83;0.82;0.79;0.95;0.8;0.67;0.77;0.79;0.78;0.82;0.95;0.75;0.76;0.71;0.84;0.83;0.79;0.86;0.86;0.76;0.73;0.75;0.81;0.81;0.83;0.82;0.72;0.71;0.83;0.8;1;0.74;0.75;0.79;0.75;0.82;0.83;0.8;0.75;0.79;0.72;0.73;0.89;0.76;0.88;0.72;0.83;0.8;0.8;0.99;0.81;0.83;0.88;0.83;0.85;0.79;0.82;0.76
56;154;0.84;0.06;0.83;0.08;0.80;0.88;0.88;0.81;0.92;0.99;0.83;0.87;0.87;0.79;0.85;0.84;0.84;0.84;0.83;0.8;0.93;0.9;0.89;0.8;0.85;0.78;0.88;0.8;0.81;0.9;0.84;0.79;0.79;0.92;0.8;0.98;0.85;0.83;0.78;0.83;0.79;0.8;0.79;0.98;0.87;0.79;0.81;0.79;0.88;0.8;0.81;0.81;0.94;0.86;0.64;0.79;0.93;0.82;0.79;0.83;0.81;0.81;0.77;0.84;0.91;0.79;0.83;0.81;0.81;0.92;0.84;0.81;0.74;0.82;0.77;0.81;0.83;0.84;0.81;0.83;0.99;0.79;0.81;0.83;0.93;0.99;0.8;0.99;0.81;0.79;0.81;0.74;0.83;0.93;0.79;0.8;0.85;0.83;0.91;0.92;0.99;0.85;0.83;0.87;0.89;0.94
57;154;0.88;0.06;0.88;0.08;0.84;0.92;0.99;0.88;0.86;0.93;0.89;0.88;0.9;0.85;0.85;0.78;0.92;0.89;0.84;0.95;0.92;0.9;0.92;0.99;0.87;0.98;0.82;1;0.84;0.8;0.75;0.98;0.84;0.87;0.76;0.84;0.86;0.96;0.97;0.92;0.81;0.84;0.88;0.85;0.91;0.84;0.77;0.85;0.82;0.91;0.86;0.85;0.87;0.91;0.93;0.89;0.92;0.99;0.9;0.91;0.95;0.82;0.87;0.9;0.98;0.91;0.7;0.99;0.85;0.95;0.82;0.98;0.85;0.77;0.92;0.84;0.84;0.94;0.91;0.92;0.85;0.84;0.89;0.83;0.93;0.86;0.83;0.89;0.83;0.85;0.89;0.85;0.85;0.92;0.99;0.8;0.95;0.88;0.94;0.89;0.75;0.84;0.91;0.87;0.88;0.83
58;154;0.75;0.09;0.74;0.11;0.69;0.80;0.79;0.68;0.76;0.68;0.7;0.66;0.96;0.71;0.69;0.71;0.7;0.76;0.79;0.74;0.71;0.66;0.87;0.59;0.71;0.87;0.77;0.75;0.73;0.78;0.84;0.71;0.68;0.71;0.73;0.99;0.69;0.71;0.68;0.77;0.74;0.84;0.84;0.84;0.69;0.86;0.79;0.66;0.8;0.68;0.67;0.71;0.85;0.7;0.76;0.86;0.68;0.69;0.8;0.69;0.8;0.66;0.76;0.74;0.7;0.8;0.68;0.78;0.98;0.66;0.49;0.99;0.65;0.72;0.69;0.77;0.98;0.74;0.63;0.7;0.69;0.76;0.78;0.69;0.7;0.8;0.83;0.99;0.68;0.68;0.8;0.91;0.79;0.77;0.72;0.74;0.8;0.77;0.71;0.81;0.7;0.76;0.8;0.92;0.79;0.73
59;154;0.78;0.08;0.78;0.08;0.74;0.82;0.83;0.95;0.71;0.84;0.71;0.76;0.77;0.68;0.72;0.82;0.78;0.83;0.71;0.74;0.68;0.75;0.61;0.67;0.82;0.82;0.87;0.74;0.67;0.82;0.8;0.8;0.76;0.7;0.8;0.77;0.83;0.89;0.78;0.8;0.77;0.77;0.68;0.76;1;0.67;0.77;0.89;0.99;0.81;0.78;0.8;0.71;0.84;0.85;0.82;0.94;0.73;0.74;0.98;0.78;0.99;0.83;0.84;0.77;0.84;0.77;0.67;0.76;0.91;0.85;0.8;0.74;0.78;0.79;0.64;0.85;0.79;0.75;0.78;0.76;0.79;0.72;0.64;0.65;0.7;0.78;0.8;0.82;0.75;0.76;0.78;0.71;0.89;0.82;0.78;0.78;0.83;0.8;0.76;0.82;0.82;0.85;0.77;0.71;0.76
60;154;0.75;0.11;0.73;0.13;0.68;0.81;0.73;0.99;0.87;0.78;0.68;0.72;0.67;0.78;0.92;0.76;0.69;0.73;0.81;0.67;0.74;0.7;0.71;0.79;0.72;0.94;0.7;0.68;0.78;0.73;0.98;0.83;0.69;0.83;0.72;0.73;0.76;0.81;0.72;0.74;0.57;0.6;0.88;0.76;0.66;0.75;0.63;0.59;0.79;0.86;0.73;0.98;0.98;0.7;0.82;0.7;0.76;0.81;0.72;0.98;0.77;0.73;0.59;0.64;0.63;0.84;0.72;0.63;0.59;0.72;0.94;0.67;0.68;0.69;0.72;1;0.84;0.86;0.71;0.72;0.83;0.82;0.58;0.55;0.6;0.64;0.61;0.78;0.63;0.98;0.72;0.77;0.67;0.7;0.88;0.7;0.71;0.77;0.8;0.65;0.87;0.98;0.8;0.6;0.65;0.66
61;154;0.72;0.11;0.73;0.08;0.69;0.77;0.68;0.67;0.72;0.76;0.66;0.77;0.8;0.72;0.64;0.72;0.68;0.72;0.69;0.6;0.61;0.65;0.72;0.73;0.74;0.81;0.72;0.67;0.7;0.73;0.88;0.77;0.63;0.79;0.75;0.75;0.84;0.74;0.87;0.75;0.74;0.7;0.67;0.73;0.66;0.78;0.76;0.77;0.61;0.76;0.72;0.79;0.68;0.83;0.73;0.73;0.74;0.84;0.81;0.75;0.8;0.65;0;0.73;0.99;0.78;0.77;0.65;0.7;0.7;0.71;0.76;0.8;0.81;0.64;0.7;0.77;0.69;0.63;0.73;0.78;0.71;0.52;0.5;0.72;0.66;0.71;0.73;0.42;0.72;0.81;0.73;0.75;0.84;0.74;0.86;0.76;0.67;0.75;0.69;0.72;0.75;0.7;0.78;0.74;0.61
62;154;0.32;0.08;0.34;0.06;0.30;0.36;0.31;0.04;0.41;0.38;0.27;0.36;0.38;0.35;0.37;0.34;0.36;0.32;0.34;0.37;0.36;0.29;0.37;0.36;0.28;0.42;0.28;0.01;0.01;0.34;0.34;0.3;0.31;0.13;0.31;0.35;0.37;0.33;0.38;0.3;0.36;0.37;0.28;0.39;0.24;0.19;0.3;0.36;0.34;0.24;0.02;0.35;0.32;0.37;0.38;0.34;0.28;0.29;0.29;0.36;0.34;0.35;0.32;0.28;0.32;0.35;0.23;0.37;0.33;0.37;0.24;0.36;0.37;0.34;0.37;0.34;0.36;0.25;0.36;0.35;0.27;0.38;0.32;0.34;0.38;0.32;0.38;0.33;0.32;0.37;0.31;0.36;0.08;0.36;0.39;0.27;0.37;0.31;0.33;0.36;0.29;0.35;0.36;0.32;0.34;0.36
63;154;0.45;0.04;0.44;0.05;0.42;0.47;0.45;0.46;0.42;0.43;0.46;0.35;0.5;0.47;0.47;0.46;0.52;0.44;0.49;0.51;0.43;0.42;0.41;0.4;0.46;0.51;0.4;0.48;0.44;0.37;0.41;0.41;0.44;0.42;0.42;0.44;0.4;0.51;0.5;0.41;0.5;0.45;0.47;0.42;0.44;0.4;0.47;0.41;0.42;0.43;0.47;0.48;0.45;0.44;0.49;0.46;0.49;0.44;0.46;0.4;0.43;0.44;0.37;0.36;0.52;0.5;0.45;0.42;0.4;0.43;0.4;0.47;0.46;0.45;0.48;0.44;0.46;0.52;0.47;0.45;0.43;0.48;0.4;0.43;0.41;0.39;0.49;0.44;0.4;0.43;0.45;0.43;0.45;0.5;0.48;0.52;0.41;0.43;0.42;0.47;0.43;0.51;0.4;0.44;0.48;0.48
64;154;0.77;0.07;0.74;0.05;0.73;0.78;0.74;1;0.78;0.73;0.76;0.75;0.71;0.88;0.76;0.77;0.69;0.82;0.76;0.98;0.73;0.76;0.75;0.73;0.76;0.92;0.97;0.76;0.65;0.71;0.89;0.74;0.75;0.74;0.72;0.76;0.74;0.72;0.75;0.88;0.74;0.69;0.72;0.92;0.8;0.68;0.74;0.78;0.74;0.74;0.73;0.71;0.75;0.86;0.78;0.83;0.73;0.75;0.79;0.68;0.72;0.83;0.8;0.73;0.74;0.79;0.71;0.73;0.88;0.76;0.74;0.71;0.74;0.74;0.73;0.77;0.73;0.8;0.74;0.73;0.92;0.77;0.74;0.79;0.72;0.76;1;0.7;0.69;0.8;0.73;0.71;0.75;0.73;0.76;0.73;0.79;0.86;0.72;0.73;0.73;0.78;0.76;0.73;0.74;0.73
65;154;0.77;0.14;0.76;0.19;0.68;0.87;0.74;0.89;0.85;0.91;0.94;0.77;0.86;0.54;0.68;0.75;0.63;0.89;0.66;0.87;0.68;0.74;0.85;1;0.72;0.74;0.9;0.89;0.77;0.8;0.68;0.78;0.71;0.87;0.76;0.99;0.62;0.8;0.62;0.63;0.81;0.75;0.63;0.73;0.9;0.57;0.65;0.92;0.77;0.48;0.88;0.72;0.82;0.77;0.74;0.72;0.79;0.98;0.76;0.82;0.73;0.66;0.68;0.68;0.65;0.88;0.67;1;0.84;0.74;0.65;0.65;0.86;0.91;0.85;0.65;0.68;0.64;0.69;0.72;0.73;0.99;0.75;0.74;0.8;0.87;0.97;0.61;0.98;0.68;0.98;0.69;0.62;0.84;0.77;0.79;0.57;0.89;0.69;0.71;0.91;0.89;0.73;0.01;0.82;0.94
66;154;0.78;0.07;0.77;0.10;0.73;0.83;0.75;0.99;0.69;0.82;0.79;0.9;0.98;0.76;0.72;0.9;0.73;0.75;0.91;0.8;0.79;0.68;0.87;0.76;0.73;0.85;0.85;0.75;0.74;0.79;0.78;0.79;0.75;0.73;0.74;0.75;0.71;0.85;0.71;0.77;0.87;0.73;0.85;0.73;0.78;0.75;0.81;0.74;0.75;0.85;0.71;0.72;0.73;0.68;0.7;0.77;0.78;0.75;0.74;0.85;0.73;0.92;0.86;0.84;0.99;0.77;0.7;0.74;0.71;0.87;0.73;0.74;0.78;0.68;0.88;0.7;0.78;0.7;0.73;0.77;0.85;0.7;0.79;0.72;0.84;0.75;0.77;0.77;0.8;0.86;0.79;0.74;0.82;0.8;0.72;0.98;0.73;0.71;0.68;0.83;0.76;0.86;0.78;0.77;1;0.82
67;154;0.73;0.10;0.74;0.06;0.70;0.76;0.71;0.53;0.88;0.76;0.72;0.62;0.75;0.72;0.67;0.86;0.72;0.58;0.73;0.75;0.56;0.71;0.74;0.77;0.74;0.72;0.76;0.74;0.75;1;0.78;0.69;0.8;0.75;0.75;0.86;0.73;0.7;0.73;0.76;0.98;0.65;0.81;0.65;0.58;0.82;0.82;0.57;0.99;0.76;0.75;0.74;0.71;0.6;0.74;1;0.7;0.72;0.46;0.76;0.72;0.75;0.68;0.71;0.87;0.74;0.72;0.48;0.79;0.62;0.74;0.72;0.73;0.51;0.76;0.91;0.83;0.69;0.56;0.7;0.52;0.77;0.74;0.9;0.74;0.74;0.7;0.72;0.82;0.88;0.7;0.74;0.78;0.76;0.7;0.71;0.83;0.7;0.89;0.74;0.7;0.71;0.75;0.54;0.69;0.78
68;154;0.68;0.05;0.66;0.06;0.64;0.70;0.74;0.69;0.7;0.74;0.68;0.76;0.63;0.65;0.69;0.61;0.64;0.64;0.76;0.68;0.62;0.66;0.62;0.63;0.8;0.67;0.73;0.77;0.62;0.65;0.63;0.67;0.71;0.76;0.76;0.67;0.66;0.69;0.63;0.66;0.7;0.75;0.61;0.73;0.63;0.7;0.64;0.66;0.77;0.75;0.73;0.66;0.65;0.64;0.67;0.64;0.69;0.64;0.76;0.62;0.56;0.69;0.66;0.62;0.66;0.7;0.64;0.69;0.63;0.66;0.69;0.69;0.57;0.65;0.64;0.65;0.64;0.64;0.7;0.78;0.69;0.66;0.64;0.64;0.76;0.62;0.66;0.62;0.75;0.7;0.66;0.67;0.7;0.74;0.67;0.69;0.76;0.64;0.61;0.69;0.65;0.65;0.64;0.74;0.63;0.62
69;154;0.93;0.05;0.93;0.09;0.89;0.98;0.98;0.96;0.86;0.99;0.98;0.95;0.98;0.91;0.99;0.92;0.87;0.89;0.98;0.93;0.89;0.95;0.96;0.98;0.92;0.88;0.91;0.9;0.91;0.88;0.98;0.95;0.89;0.87;0.99;0.87;0.84;0.88;0.9;0.9;0.98;0.96;0.87;0.99;1;0.98;0.83;0.97;0.87;0.88;0.92;0.85;0.98;0.93;0.9;0.91;1;0.95;0.87;0.92;0.99;0.84;0.93;0.89;0.83;0.96;0.92;0.99;0.98;0.95;0.8;0.91;0.86;0.99;0.98;0.98;0.93;0.98;0.98;0.98;0.98;0.93;0.94;0.98;0.9;0.99;0.99;0.92;0.92;0.91;0.82;0.92;0.93;0.87;0.91;0.9;0.94;0.98;0.89;0.99;0.99;0.85;0.98;0.91;0.98;0.98
70;154;0.47;0.15;0.50;0.14;0.40;0.54;0.52;0.51;0.47;0.19;0.42;0.6;0.56;0.38;0.5;0.57;0.5;0.5;0.48;0.68;0.51;0.6;0.62;0.5;0.35;0.52;0.44;0.54;0.45;0.38;0.51;0.48;0.48;0.45;0.69;0.5;0.37;0.51;0.52;0.5;0.53;0.32;0.55;0.46;0.01;0.41;0.49;0.38;0.55;0.39;0.73;0.45;0.38;0.45;0.35;0.52;0.39;0.66;0.3;0.52;0.51;0.5;0.49;0.4;0.5;0.6;0.39;0.1;0.18;0.38;0.44;0.59;0.46;0.74;0.48;0.4;0.73;0.54;0.46;0.64;0.99;0.38;0.1;0.69;0.29;0.35;0.47;0.27;0.61;0.24;0.45;0.01;0.56;0.54;0.54;0.42;0.51;0.51;0.53;0.54;0.52;0.48;0.56;0.36;0.62;0.51
71;154;0.49;0.16;0.49;0.10;0.44;0.53;0.46;0.64;0.48;0.34;0.41;0.5;0.7;0.51;0.57;0.35;0.51;0.57;0.43;0.15;0.53;0.42;0.5;0.54;0.52;0.33;0.55;0.68;0.59;0.51;0.61;0.49;0.99;0.38;0.37;0.01;0.45;0.52;0.53;0.5;0.4;0.71;0.51;0.87;0.32;0.39;0.42;0.43;0.51;0.5;0.49;0.3;0.68;0.67;0.59;0.51;0.48;0.35;0.46;0.53;0.49;0.81;0.47;0;0.51;0.43;0.83;0.49;0.52;0.52;0.46;0.51;0.48;0.51;0.62;0.54;0.72;0.49;0.33;0.77;0.53;0.53;0.63;0.59;0.46;0.77;0.48;0.53;0.49;0.51;0.44;0.48;0.01;0.37;0.53;0.47;0.38;0.44;0.46;0.23;0.67;0.45;0.34;0.49;0.46;0.45
72;154;0.74;0.09;0.72;0.10;0.69;0.78;0.71;0.73;0.68;0.8;0.65;0.73;0.66;0.78;0.66;0.72;0.82;0.75;0.68;0.86;0.66;0.81;0.79;0.83;0.99;0.66;0.66;0.79;0.75;0.71;0.72;0.64;0.72;0.98;0.66;0.68;0.72;0.71;0.91;0.84;0.65;0.73;0.8;0.69;0.7;0.73;0.75;0.66;0.69;0.63;0.69;0.73;0.69;0.85;0.84;0.71;0.68;0.67;0.7;0.69;0.69;0.75;0.8;0.64;0.73;0.84;0.81;0.66;0.8;0.82;0.64;0.69;0.74;0.74;0.7;0.74;0.77;0.72;0.66;0.82;0.65;0.74;0.69;0.74;0.69;0.89;0.65;0.78;0.99;0.64;0.87;0.74;0.69;0.78;0.86;0.66;0.74;0.69;0.7;0.73;0.71;0.74;0.83;0.38;0.74;0.73
73;154;0.34;0.10;0.36;0.08;0.31;0.39;0.27;0.38;0.16;0.26;0.35;0.32;0.5;0.41;0.38;0.37;0.45;0.39;0.36;0.01;0.39;0.36;0.33;0.32;0.36;0.26;0.51;0.4;0.34;0.36;0.39;0.48;0.36;0.36;0.38;0.3;0.5;0.36;0.23;0.3;0.38;0.25;0.32;0.19;0.36;0.34;0.4;0.28;0.49;0.08;0.31;0.31;0.34;0.51;0.34;0.26;0.41;0.37;0.38;0.01;0.35;0.32;0.38;0.18;0.39;0.22;0.4;0.39;0.41;0.4;0.37;0.39;0.43;0.37;0.51;0.38;0.45;0.33;0.32;0.33;0.34;0.35;0.34;0.41;0.25;0.28;0.28;0.45;0.13;0.37;0.15;0.48;0.5;0.39;0.2;0.39;0.46;0.33;0.31;0.02;0.42;0.35;0.51;0.34;0.37;0.36
74;154;0.47;0.16;0.47;0.22;0.37;0.59;0.53;0.3;0.45;0.44;0.47;0.6;0.23;0.46;0.49;0.42;0.42;0.59;0.46;0.32;0.46;0.61;0.22;0.34;0.49;0.57;0;0.52;0.39;0.18;0.31;0.33;0.6;0.47;0.61;0.6;0.36;0.62;0.57;0.46;0.22;0.26;0.63;0.5;0.31;0.01;0.37;0.57;0.5;0.55;0.42;0.61;0.61;0.46;0.51;0.4;0.65;0.29;0.41;0.6;0.46;0.6;0.58;0.32;0.4;0.37;0.64;0.58;0.57;0.39;0.71;0.34;0.67;0.55;0.45;0.67;0.46;0.61;0.51;0.56;0.41;0.63;0.5;0.07;0.61;0.6;0.99;0.44;0.63;0.16;0.34;0.32;0.43;0.36;0.63;0.35;0.45;0.3;0.59;0.35;0.6;0.47;0.59;0.45;0.56;0.58
75;154;0.85;0.06;0.86;0.08;0.81;0.89;0.84;0.78;0.87;0.88;0.85;0.85;0.71;0.9;0.82;0.86;0.76;0.71;0.85;0.82;0.88;0.87;0.98;0.88;0.78;0.77;0.82;0.74;0.8;0.77;0.92;0.78;0.75;0.87;0.71;0.88;0.85;0.89;0.88;0.92;0.8;0.89;0.86;0.83;0.99;0.92;0.94;0.84;0.86;0.88;0.88;0.99;0.85;0.88;0.79;0.87;0.76;0.84;0.91;0.86;0.81;0.93;0.84;0.79;0.87;0.9;0.85;0.92;0.9;0.83;0.81;0.88;0.85;0.87;0.76;0.89;0.77;0.89;0.85;0.88;0.77;0.74;0.92;0.89;1;0.92;0.95;0.81;0.89;0.86;0.89;0.76;0.85;0.78;0.88;0.86;0.9;0.89;0.91;0.86;0.76;0.88;0.85;0.88;0.73;0.89
76;154;0.26;0.14;0.24;0.07;0.20;0.27;0.19;0.01;0.2;0.24;0.44;0.27;0.27;0.16;0.14;0.24;0.27;0.25;0.3;0.22;0.22;0.35;0.01;0.27;0.09;0.21;0.28;0.23;0.23;0.28;0.26;0.11;0.28;0.23;0.27;0.52;0.27;0.55;0.19;0.21;0.24;0.24;0.25;0.01;0.28;0.22;0.27;0.24;0.13;0.02;0.15;0.25;0.54;0.23;0.42;0.14;0.26;0.19;0.25;0.24;0.28;0.29;0.23;0.27;0.16;0.23;0.3;0.26;0.28;0.22;0.26;0.26;0.15;0.22;0.26;0.5;0.28;0.17;0.23;0.22;0.09;0.12;0.2;0.76;0.2;0.27;0.21;0.25;0.27;0.1;0.18;0.24;0.32;0.18;0.22;0.5;0.25;0.33;0.65;0.22;0.99;0.21;0.18;0.27;0.2;0.28
77;154;0.49;0.05;0.48;0.05;0.46;0.51;0.5;0.54;0.54;0.59;0.45;0.45;0.46;0.48;0.52;0.46;0.49;0.47;0.48;0.55;0.47;0.43;0.49;0.46;0.54;0.5;0.52;0.45;0.46;0.64;0.43;0.59;0.48;0.44;0.48;0.47;0.48;0.5;0.48;0.47;0.48;0.45;0.45;0.44;0.51;0.48;0.47;0.47;0.49;0.55;0.48;0.54;0.45;0.45;0.46;0.46;0.43;0.46;0.46;0.52;0.43;0.46;0.54;0.56;0.5;0.71;0.47;0.47;0.46;0.46;0.51;0.47;0.53;0.56;0.47;0.51;0.48;0.49;0.49;0.45;0.46;0.42;0.46;0.49;0.53;0.45;0.47;0.51;0.47;0.47;0.48;0.52;0.48;0.61;0.5;0.47;0.48;0.47;0.42;0.45;0.42;0.53;0.45;0.47;0.54;0.43
78;154;0.59;0.03;0.58;0.03;0.57;0.60;0.6;0.51;0.54;0.58;0.63;0.6;0.55;0.57;0.55;0.58;0.58;0.58;0.54;0.59;0.6;0.6;0.62;0.6;0.6;0.62;0.57;0.57;0.52;0.59;0.62;0.59;0.63;0.53;0.61;0.59;0.58;0.55;0.63;0.58;0.66;0.62;0.56;0.6;0.57;0.59;0.61;0.66;0.65;0.65;0.56;0.58;0.62;0.61;0.52;0.56;0.61;0.57;0.58;0.57;0.62;0.55;0.57;0.59;0.58;0.6;0.6;0.58;0.56;0.58;0.58;0.59;0.56;0.6;0.51;0.6;0.6;0.59;0.56;0.54;0.65;0.57;0.63;0.57;0.54;0.59;0.58;0.58;0.57;0.54;0.6;0.58;0.57;0.63;0.57;0.64;0.59;0.54;0.56;0.62;0.62;0.62;0.6;0.65;0.58;0.56
79;154;0.56;0.13;0.58;0.09;0.53;0.62;0.45;0.53;0.54;0.56;0.58;0.66;0.58;0.65;0.74;0.58;0.59;0.51;0.6;0.55;0.58;0.66;0.64;0.59;0.53;0.51;0.3;0.58;0.59;0.77;0.61;0.54;0.6;0.21;0.51;0.34;0.69;0.62;0.67;0.58;0.62;0.58;0.52;0.56;1;0.63;0.59;0.57;0.57;0.59;0.57;0.51;0.62;0.26;0.51;0.58;0.56;0.59;0.56;0.6;0.58;0.49;0.64;0.57;0.66;0.56;0.59;0.63;0.61;0.52;0.61;0.57;0.01;0.51;0.66;0.48;0.62;0.51;0.59;0.63;0.49;0.63;0.63;0.65;0.64;0.6;0.61;0.63;0.57;0.5;0.51;0.54;0.63;0.57;0.2;0.53;0.54;0.61;0.54;0.57;0.17;0.19;0.63;0.61;0.78;0.6
80;154;0.30;0.07;0.32;0.07;0.28;0.35;0.32;0.33;0.26;0.33;0.21;0.17;0.38;0.33;0.33;0.36;0.35;0.32;0.33;0.29;0.36;0.29;0.28;0.3;0.32;0.27;0.38;0.35;0.35;0.31;0.02;0.33;0.32;0.38;0.32;0.38;0.32;0.38;0.36;0.01;0.34;0.17;0.29;0.36;0.29;0.27;0.28;0.36;0.38;0.35;0.28;0.34;0.31;0.3;0.2;0.33;0.29;0.34;0.33;0.35;0.34;0.21;0.26;0.26;0.2;0.27;0.32;0.38;0.31;0.29;0.36;0.28;0.21;0.36;0.16;0.34;0.3;0.36;0.29;0.31;0.27;0.28;0.33;0.37;0.39;0.36;0.32;0.28;0.31;0.19;0.31;0.28;0.35;0.3;0.27;0.36;0.18;0.29;0.38;0.36;0.35;0.29;0.27;0.19;0.35;0.33
81;154;0.51;0.18;0.52;0.16;0.42;0.58;0.56;0.24;0.57;0.46;1;0.46;0.38;0.39;0.53;0.46;0.52;0.44;0.41;0.58;0.63;0.4;0.99;0.56;0.98;0.38;0.45;0.39;0.58;0.22;0.41;0.49;0.54;0.45;0.55;0.54;0.57;0.23;0.46;0.13;0.13;0.46;0.53;0.57;0.64;0.52;0.51;0.7;0.56;0.6;0.61;0.56;0.66;0.6;0.72;0.35;0.37;0.49;0.5;0.94;0.49;0.6;0.44;0;0.57;0.53;0.84;0.55;0.59;0.99;0.68;0.59;0.6;0.54;0.44;0.51;0.53;0.4;0.41;0.43;0.48;0.53;0.53;0.52;0.37;0.37;0.56;0.02;0.34;0.52;0.42;0.42;0.59;0.6;0.13;0.39;0.45;0.47;0.75;0.6;0.53;0.4;0.64;0.53;0.51;0.79
82;154;0.59;0.10;0.56;0.08;0.53;0.61;0.59;0.54;0.52;0.5;0.49;0.53;0.58;0.6;0.52;0.5;0.52;0.57;0.62;0.61;0.54;0.66;0.71;0.47;0.45;0.53;0.53;0.52;0.56;0.98;0.54;0.53;0.49;0.56;0.6;0.53;0.54;0.52;0.56;0.57;0.62;0.56;0.57;0.74;0.63;0.53;0.61;0.58;0.56;0.68;0.66;0.65;0.52;0.54;0.57;0.55;0.67;0.53;0.54;0.58;0.54;0.61;0.67;0.54;0.53;0.56;0.6;0.52;0.63;0.53;0.55;0.52;0.91;0.62;0.51;0.56;0.58;0.63;0.99;0.77;0.56;0.53;0.52;0.46;0.61;0.71;0.52;0.51;0.51;0.66;0.55;0.55;0.63;0.51;0.57;0.64;0.52;0.56;0.56;0.6;0.95;0.84;0.57;0.56;0.57;0.48
83;154;0.61;0.15;0.62;0.13;0.55;0.68;0.68;0.58;0.6;0.62;0.52;0.45;0.7;0.68;0.55;0.63;0.56;0.98;0.52;0.55;0.62;0.58;0.71;0.62;0.68;0.53;0.45;0.62;0.68;0.55;0.76;0.57;0.73;0.71;0.5;0.58;0.67;0.68;0.7;0.71;0.41;0.63;0.61;0.66;0.61;0.58;0.6;0.55;0.58;0.62;0.51;0.49;0.52;0.66;0.63;0.67;0.7;0.7;0.59;0.69;0.51;0.57;0.63;0.68;0.02;0.45;0.66;0.76;0.64;0.68;0.52;0.68;0.61;0.65;0.75;1;0.49;0.57;0.53;0.49;0.63;0.66;0.62;0.67;0.7;0.67;0.62;0.56;0.55;0.54;0.63;0.67;0.89;0.56;0.75;0.55;0.59;0.9;0.73;0.01;0.75;0.62;0.5;0.61;0.45;0.01
